preamble,stimulus,item,true_category,category,rank,"score (sum, mean, [list)",params,model
Pea is a,vegetable.,pea,none,vegetable,1,"[-12.27605152130127, -11.17679214477539, -12.07717227935791, -11.180851936340332, -10.025582313537598, -12.23290729522705, -12.010092735290527, -10.968106269836426, -11.814454078674316, -11.415496826171875, -11.161463737487793, -11.400538444519043, -11.648303985595703, -12.013754844665527, -11.441033363342285, -9.196420669555664, -11.839919090270996, -11.89003849029541, -12.843050956726074, -13.113021850585938, -10.32101058959961, -11.768821716308594, -11.311964988708496, -10.774127006530762, -8.8964204788208, -11.797823905944824, -11.60682201385498, -12.264842987060547, -12.369139671325684, -12.45108413696289, -11.302325248718262, -11.450718879699707, -12.679055213928223, -12.340428352355957, -12.203179359436035, -11.613020896911621, -11.542595863342285, -11.884647369384766, -12.247546195983887, -11.645637512207031, -12.193069458007812, -11.981228828430176, -11.644691467285156, -11.161652565002441, -12.23638916015625, -11.86896800994873, -11.785696983337402, -11.415928840637207, -11.573384284973145, -10.879069328308105]",7241732096,mistralai_Mistral-7B-v0.1
Carrot is a,vegetable.,carrot,none,vegetable,2,"[-11.863456726074219, -11.359501838684082, -11.37594223022461, -11.972521781921387, -11.568543434143066, -9.075263977050781, -12.416699409484863, -10.871910095214844, -11.335792541503906, -11.984766960144043, -11.762280464172363, -10.848687171936035, -11.683990478515625, -10.782401084899902, -11.34213924407959, -11.047653198242188, -11.55289077758789, -11.876483917236328, -8.709206581115723, -11.374285697937012, -12.147099494934082, -12.019770622253418, -11.543349266052246, -11.522021293640137, -11.910072326660156, -12.079609870910645, -12.23442554473877, -10.994450569152832, -11.84873104095459, -10.494498252868652, -12.599234580993652, -11.23940372467041, -11.540679931640625, -11.686245918273926, -11.770309448242188, -10.592608451843262, -11.79174518585205, -11.654437065124512, -11.450916290283203, -11.880661010742188, -10.93313217163086, -10.113369941711426, -11.532374382019043, -11.69904613494873, -12.0348539352417, -12.056316375732422, -10.607769966125488, -11.839659690856934, -11.173727989196777, -10.922904968261719]",7241732096,mistralai_Mistral-7B-v0.1
Green bean is a,vegetable.,green bean,none,vegetable,3,"[-10.840838432312012, -10.74383544921875, -10.443487167358398, -10.36868953704834, -10.562992095947266, -11.37578296661377, -10.990498542785645, -11.21426010131836, -11.004515647888184, -11.097298622131348, -10.759814262390137, -10.818812370300293, -10.968846321105957, -11.637742042541504, -10.476086616516113, -11.719405174255371, -10.775368690490723, -11.614067077636719, -11.691617012023926, -10.774205207824707, -10.992634773254395, -11.953224182128906, -10.49697208404541, -10.986613273620605, -11.937914848327637, -11.848027229309082, -11.027698516845703, -11.094853401184082, -11.391677856445312, -11.69745922088623, -9.755105018615723, -11.93051528930664, -10.384234428405762, -11.279500007629395, -10.13835620880127, -11.252120018005371, -10.28062629699707, -11.236984252929688, -10.908577919006348, -10.667817115783691, -11.831131935119629, -11.190803527832031, -11.569992065429688, -11.296696662902832, -11.212597846984863, -10.687854766845703, -11.257652282714844, -11.32698917388916, -11.576573371887207, -11.499675750732422]",7241732096,mistralai_Mistral-7B-v0.1
String bean is a,vegetable.,string bean,none,vegetable,4,"[-10.123900413513184, -8.76877498626709, -9.124435424804688, -9.435175895690918, -9.710838317871094, -9.30405330657959, -9.151440620422363, -8.93477725982666, -9.232403755187988, -10.037520408630371, -8.962388038635254, -9.78122615814209, -9.406018257141113, -8.98691463470459, -8.977594375610352, -9.582972526550293, -9.46999454498291, -9.579621315002441, -10.174239158630371, -9.450371742248535, -10.046196937561035, -8.257551193237305, -9.6688232421875, -10.084872245788574, -9.53580093383789, -9.435301780700684, -9.193805694580078, -9.849410057067871, -8.920793533325195, -9.826591491699219, -8.619359016418457, -10.701441764831543, -9.194183349609375, -11.22197437286377, -8.524662017822266, -10.683123588562012, -10.188202857971191, -9.794478416442871, -9.050177574157715, -9.69757080078125, -9.525691032409668, -9.28071117401123, -10.100979804992676, -8.857653617858887, -8.506271362304688, -9.789512634277344, -9.091163635253906, -9.548686027526855, -9.577820777893066, -8.916844367980957]",7241732096,mistralai_Mistral-7B-v0.1
Spinach is a,vegetable.,spinach,none,vegetable,5,"[-11.100430488586426, -11.141494750976562, -9.691110610961914, -11.643658638000488, -10.380202293395996, -11.542632102966309, -9.585447311401367, -11.220526695251465, -10.813260078430176, -10.758084297180176, -10.709113121032715, -10.626847267150879, -11.752392768859863, -11.376599311828613, -10.046564102172852, -11.313036918640137, -10.90956974029541, -11.158251762390137, -10.89052677154541, -10.629312515258789, -9.417885780334473, -9.718609809875488, -11.05323314666748, -11.26608943939209, -10.168731689453125, -10.67940616607666, -11.107959747314453, -10.766375541687012, -11.067558288574219, -10.703036308288574, -9.341828346252441, -10.863240242004395, -10.74886417388916, -11.33644962310791, -11.393524169921875, -10.607613563537598, -11.183533668518066, -10.794548034667969, -10.937420845031738, -11.056061744689941, -10.937541007995605, -8.413041114807129, -10.787312507629395, -10.990776062011719, -11.052830696105957, -11.800254821777344, -10.822731018066406, -10.44134521484375, -11.087370872497559, -11.552685737609863]",7241732096,mistralai_Mistral-7B-v0.1
Broccoli is a,vegetable.,broccoli,none,vegetable,6,"[-11.6798734664917, -11.664599418640137, -11.35437297821045, -11.683629035949707, -11.249221801757812, -11.889409065246582, -11.1795072555542, -11.105297088623047, -11.44207763671875, -10.061137199401855, -10.047286987304688, -10.454922676086426, -11.479994773864746, -10.008209228515625, -11.305336952209473, -11.958535194396973, -10.216912269592285, -10.047995567321777, -11.805603981018066, -11.192066192626953, -11.459576606750488, -9.868714332580566, -11.36690902709961, -11.268253326416016, -12.085827827453613, -11.844311714172363, -11.254313468933105, -11.140975952148438, -10.049185752868652, -11.9495849609375, -11.594094276428223, -10.009182929992676, -9.404226303100586, -11.339390754699707, -11.36502456665039, -11.032508850097656, -9.539388656616211, -12.190296173095703, -12.155654907226562, -12.282687187194824, -11.61146068572998, -10.702583312988281, -12.190102577209473, -11.932792663574219, -12.282332420349121, -12.08499813079834, -11.801196098327637, -11.544849395751953, -11.557991027832031, -10.537358283996582]",7241732096,mistralai_Mistral-7B-v0.1
Asparagus is a,vegetable.,asparagus,none,vegetable,7,"[-13.490252494812012, -13.137877464294434, -13.337346076965332, -10.024389266967773, -13.339118003845215, -12.993573188781738, -13.313194274902344, -12.085652351379395, -12.946310997009277, -12.787052154541016, -13.658692359924316, -10.440971374511719, -9.680850982666016, -9.345524787902832, -13.215167045593262, -13.623385429382324, -12.869418144226074, -13.519404411315918, -9.636025428771973, -12.493255615234375, -13.028793334960938, -12.994389533996582, -13.146029472351074, -13.066925048828125, -9.998963356018066, -13.404484748840332, -9.32481575012207, -13.896571159362793, -13.310001373291016, -12.903640747070312, -12.368000030517578, -13.26615047454834, -13.078545570373535, -12.754870414733887, -12.818195343017578, -9.228484153747559, -13.588561058044434, -13.065571784973145, -12.530779838562012, -12.68194580078125, -10.142561912536621, -13.43555736541748, -12.887519836425781, -13.496735572814941, -14.034594535827637, -12.385353088378906, -12.881091117858887, -13.386000633239746, -13.000426292419434, -12.560555458068848]",7241732096,mistralai_Mistral-7B-v0.1
Corn is a,vegetable.,corn,none,vegetable,8,"[-9.596006393432617, -10.517476081848145, -8.848594665527344, -11.134757995605469, -8.902972221374512, -10.080889701843262, -11.992671012878418, -10.028271675109863, -10.317124366760254, -10.431872367858887, -11.285101890563965, -10.663662910461426, -11.240775108337402, -11.267040252685547, -8.67138957977295, -8.80250072479248, -9.434261322021484, -9.488357543945312, -11.361296653747559, -11.023486137390137, -11.349848747253418, -9.615165710449219, -8.897361755371094, -11.13430404663086, -9.334149360656738, -7.480216979980469, -11.375411987304688, -10.701212882995605, -9.355155944824219, -9.261590003967285, -9.90813159942627, -12.12176513671875, -9.575836181640625, -10.745020866394043, -10.512452125549316, -9.273697853088379, -11.236187934875488, -8.940512657165527, -10.211967468261719, -11.084487915039062, -10.85269832611084, -9.377963066101074, -9.628092765808105, -9.309128761291504, -9.853289604187012, -12.014124870300293, -11.071492195129395, -11.2818603515625, -9.749491691589355, -10.413277626037598]",7241732096,mistralai_Mistral-7B-v0.1
Cauliflower is a,vegetable.,cauliflower,none,vegetable,9,"[-8.587599754333496, -9.113123893737793, -9.27188491821289, -14.398247718811035, -15.564796447753906, -15.30199909210205, -15.327498435974121, -16.5079345703125, -16.03633689880371, -16.217763900756836, -16.411832809448242, -16.564899444580078, -15.271594047546387, -14.000763893127441, -16.621814727783203, -15.7125244140625, -16.389951705932617, -16.140766143798828, -15.64936351776123, -15.829116821289062, -16.551912307739258, -10.305099487304688, -9.387360572814941, -15.851462364196777, -16.519914627075195, -16.333253860473633, -16.196170806884766, -9.818096160888672, -16.54388999938965, -16.748830795288086, -15.046311378479004, -16.32085609436035, -15.774463653564453, -16.56593132019043, -15.415387153625488, -15.58626937866211, -10.025712013244629, -15.347369194030762, -16.09174919128418, -15.489715576171875, -14.213946342468262, -14.162918090820312, -15.75997543334961, -14.821341514587402, -15.271866798400879, -15.823163032531738, -15.632939338684082, -16.074953079223633, -14.767428398132324, -15.328758239746094]",7241732096,mistralai_Mistral-7B-v0.1
Brussels sprouts are,vegetables.,brussels sprouts,none,vegetable,10,"[-11.953519821166992, -12.339019775390625, -11.813766479492188, -11.340591430664062, -11.475693702697754, -11.403029441833496, -10.030181884765625, -12.321685791015625, -12.088744163513184, -10.373217582702637, -11.457304954528809, -11.308052062988281, -11.02035903930664, -11.64389419555664, -11.003694534301758, -11.200176239013672, -10.690929412841797, -10.024648666381836, -10.805610656738281, -11.517763137817383, -11.658523559570312, -11.500200271606445, -11.480308532714844, -11.11617374420166, -9.5977783203125, -10.733516693115234, -12.001256942749023, -10.93256950378418, -11.93802261352539, -11.77752685546875, -11.934038162231445, -10.003323554992676, -11.891374588012695, -11.303709030151367, -11.155950546264648, -11.645671844482422, -11.71786117553711, -10.600852966308594, -11.246399879455566, -11.187484741210938, -11.779443740844727, -11.640768051147461, -9.068059921264648, -11.822278022766113, -10.392398834228516, -11.651212692260742, -11.920948028564453, -12.37431812286377, -10.487264633178711, -12.188454627990723]",7241732096,mistralai_Mistral-7B-v0.1
Squash is a,vegetable.,squash,none,vegetable,11,"[-10.03528881072998, -8.89205551147461, -10.262862205505371, -10.963994026184082, -11.385281562805176, -10.632803916931152, -10.186188697814941, -9.976553916931152, -10.76433277130127, -10.491036415100098, -10.57857894897461, -10.992835998535156, -10.463486671447754, -10.49874210357666, -10.224934577941895, -10.493461608886719, -10.280566215515137, -9.215399742126465, -9.983949661254883, -10.686251640319824, -8.951521873474121, -10.884384155273438, -9.841532707214355, -9.528042793273926, -10.453083992004395, -10.31902027130127, -10.660560607910156, -9.971843719482422, -9.909086227416992, -10.66370677947998, -10.504897117614746, -9.416298866271973, -10.299551010131836, -10.308989524841309, -9.422959327697754, -10.742915153503418, -10.411529541015625, -10.316825866699219, -10.500530242919922, -10.372925758361816, -10.57289981842041, -10.574082374572754, -10.40585708618164, -10.24660873413086, -10.320648193359375, -10.84898853302002, -8.985536575317383, -10.142749786376953, -10.640650749206543, -10.84460163116455]",7241732096,mistralai_Mistral-7B-v0.1
Lettuce is a,vegetable.,lettuce,none,vegetable,12,"[-11.446145057678223, -11.664566993713379, -11.477775573730469, -10.612289428710938, -12.124534606933594, -10.52125072479248, -11.655075073242188, -11.099278450012207, -10.990653991699219, -11.510087013244629, -11.716435432434082, -10.956619262695312, -11.792617797851562, -10.113238334655762, -12.5962495803833, -11.645901679992676, -10.123494148254395, -11.18593692779541, -9.887042045593262, -12.268132209777832, -11.428315162658691, -11.419512748718262, -12.126960754394531, -12.079279899597168, -12.076858520507812, -11.2954740524292, -11.17946720123291, -9.90676498413086, -12.098590850830078, -11.4548978805542, -11.309163093566895, -11.898186683654785, -11.165322303771973, -10.499375343322754, -11.301078796386719, -11.731900215148926, -12.124457359313965, -11.011326789855957, -10.290772438049316, -12.111302375793457, -12.123839378356934, -11.594474792480469, -12.125676155090332, -11.239008903503418, -11.527331352233887, -11.579609870910645, -11.60468578338623, -11.766777992248535, -10.853589057922363, -11.125445365905762]",7241732096,mistralai_Mistral-7B-v0.1
Celery is a,vegetable.,celery,none,vegetable,13,"[-10.555068969726562, -10.049273490905762, -9.741926193237305, -12.026320457458496, -10.926406860351562, -11.984928131103516, -11.815228462219238, -11.343701362609863, -12.398648262023926, -11.643569946289062, -11.570700645446777, -12.56455135345459, -11.145347595214844, -11.749764442443848, -11.625452995300293, -11.904521942138672, -11.747047424316406, -11.019619941711426, -11.56569766998291, -12.019536018371582, -11.956275939941406, -11.366013526916504, -11.621264457702637, -11.373568534851074, -11.947155952453613, -11.590975761413574, -11.202832221984863, -10.760307312011719, -11.219818115234375, -11.488408088684082, -11.00784969329834, -12.136638641357422, -11.72307300567627, -11.565140724182129, -12.218392372131348, -10.844622611999512, -10.936222076416016, -12.33276653289795, -11.409438133239746, -11.231528282165527, -9.247756004333496, -12.533150672912598, -10.557816505432129, -12.066706657409668, -11.402137756347656, -12.089007377624512, -11.837879180908203, -11.820991516113281, -11.515925407409668, -12.14698314666748]",7241732096,mistralai_Mistral-7B-v0.1
Cucumber is a,vegetable.,cucumber,none,vegetable,14,"[-11.47695255279541, -10.250938415527344, -10.66141414642334, -11.48961353302002, -11.753410339355469, -12.034817695617676, -11.566637992858887, -12.156720161437988, -12.074381828308105, -11.615363121032715, -9.6148042678833, -10.790916442871094, -9.430856704711914, -11.483922004699707, -12.344861030578613, -11.474193572998047, -12.004508972167969, -12.213934898376465, -10.30978012084961, -12.427590370178223, -12.202383995056152, -11.785686492919922, -9.828886032104492, -11.505549430847168, -12.183330535888672, -11.5306396484375, -12.00599193572998, -11.869160652160645, -11.680706024169922, -11.76723861694336, -11.801525115966797, -11.80517864227295, -9.837340354919434, -11.637505531311035, -11.772767066955566, -12.0147705078125, -12.0773286819458, -11.553851127624512, -12.001444816589355, -11.65335464477539, -12.039657592773438, -12.253120422363281, -12.511347770690918, -11.978829383850098, -11.27923583984375, -11.95014476776123, -11.705833435058594, -11.589167594909668, -11.948355674743652, -12.083370208740234]",7241732096,mistralai_Mistral-7B-v0.1
Beet is a,vegetable.,beet,none,vegetable,15,"[-11.728339195251465, -8.964404106140137, -10.91487979888916, -11.18505859375, -11.493950843811035, -12.40860366821289, -11.106417655944824, -11.159146308898926, -11.516814231872559, -11.837998390197754, -12.12507152557373, -12.327842712402344, -11.452801704406738, -11.760787010192871, -12.446056365966797, -11.36235523223877, -11.897665977478027, -10.253264427185059, -11.347058296203613, -11.358723640441895, -11.71008586883545, -11.71583080291748, -11.44412612915039, -11.691025733947754, -12.944351196289062, -11.267093658447266, -11.483494758605957, -11.691330909729004, -10.839871406555176, -10.570488929748535, -12.053072929382324, -12.460766792297363, -11.679901123046875, -11.641661643981934, -11.873229026794434, -11.125675201416016, -11.404406547546387, -10.669829368591309, -12.008090019226074, -9.849786758422852, -11.697890281677246, -11.26840877532959, -11.968143463134766, -10.971219062805176, -9.522547721862793, -11.522216796875, -11.424612998962402, -12.758254051208496, -11.380988121032715, -12.009201049804688]",7241732096,mistralai_Mistral-7B-v0.1
Green is a,vegetable.,green,none,vegetable,16,"[-7.909465312957764, -10.242164611816406, -9.944117546081543, -9.545178413391113, -10.582709312438965, -8.128803253173828, -9.994771003723145, -8.346536636352539, -9.253928184509277, -10.682594299316406, -9.790970802307129, -8.68027400970459, -8.60135555267334, -8.500962257385254, -9.5057373046875, -10.220612525939941, -8.151349067687988, -8.568608283996582, -9.94020938873291, -9.807307243347168, -10.301886558532715, -7.406102657318115, -10.359517097473145, -9.313437461853027, -8.853734016418457, -10.484787940979004, -10.015450477600098, -9.95457649230957, -11.455836296081543, -9.080117225646973, -8.445838928222656, -8.68331527709961, -7.827491760253906, -9.60793399810791, -9.851738929748535, -8.544334411621094, -8.492968559265137, -10.426630020141602, -10.138333320617676, -8.606532096862793, -7.881728649139404, -8.152670860290527, -9.637948989868164, -10.731535911560059, -7.76447868347168, -10.595430374145508, -10.271343231201172, -11.168702125549316, -9.371530532836914, -10.959948539733887]",7241732096,mistralai_Mistral-7B-v0.1
Tomato is a,vegetable.,tomato,none,vegetable,17,"[-11.985298156738281, -11.722447395324707, -12.137103080749512, -10.626251220703125, -11.273457527160645, -11.4959135055542, -11.285683631896973, -10.737090110778809, -10.4207181930542, -11.709406852722168, -11.41727352142334, -11.820446968078613, -8.279013633728027, -10.986174583435059, -11.791150093078613, -9.485737800598145, -11.58209228515625, -11.846427917480469, -12.095927238464355, -11.172988891601562, -11.65807819366455, -11.132184028625488, -11.44017505645752, -12.220738410949707, -12.41129207611084, -7.541919231414795, -11.334854125976562, -10.347994804382324, -11.840291023254395, -11.911526679992676, -11.877472877502441, -12.719882011413574, -11.846770286560059, -10.443156242370605, -11.6707181930542, -11.326698303222656, -12.6131010055542, -11.993453979492188, -11.6250581741333, -12.019165992736816, -11.576199531555176, -12.192181587219238, -11.396199226379395, -11.377106666564941, -11.631213188171387, -11.712059020996094, -12.091407775878906, -12.165645599365234, -9.910958290100098, -11.437240600585938]",7241732096,mistralai_Mistral-7B-v0.1
Lima bean is a,vegetable.,lima bean,none,vegetable,18,"[-12.644991874694824, -12.958045959472656, -13.374340057373047, -12.54690170288086, -13.254645347595215, -13.350921630859375, -13.163474082946777, -13.689659118652344, -13.095775604248047, -13.10763931274414, -12.49023151397705, -12.899406433105469, -12.80482006072998, -12.857733726501465, -12.665770530700684, -10.199738502502441, -13.386298179626465, -12.990649223327637, -11.735568046569824, -13.434051513671875, -12.03853988647461, -13.163626670837402, -12.99973201751709, -13.340502738952637, -12.311171531677246, -13.315864562988281, -13.149632453918457, -13.364541053771973, -13.067207336425781, -13.14803409576416, -13.04804515838623, -13.232598304748535, -13.541600227355957, -13.825752258300781, -12.908488273620605, -12.139305114746094, -13.078678131103516, -13.49548625946045, -11.724452018737793, -12.873688697814941, -10.105169296264648, -12.706336975097656, -13.294723510742188, -12.774615287780762, -13.581023216247559, -12.707545280456543, -12.825663566589355, -12.646514892578125, -13.425740242004395, -12.373213768005371]",7241732096,mistralai_Mistral-7B-v0.1
Artichoke is a,vegetable.,artichoke,none,vegetable,19,"[-10.615735054016113, -11.44253158569336, -12.111071586608887, -10.9295015335083, -10.934913635253906, -10.377167701721191, -10.659412384033203, -9.985816955566406, -10.392439842224121, -10.18332576751709, -11.055373191833496, -10.13375186920166, -10.553197860717773, -10.640156745910645, -10.771845817565918, -10.660859107971191, -10.417706489562988, -10.56987476348877, -11.186884880065918, -10.90800952911377, -10.965099334716797, -10.96731948852539, -12.014419555664062, -10.813465118408203, -11.029141426086426, -10.635554313659668, -10.374088287353516, -11.299602508544922, -10.411402702331543, -11.411144256591797, -9.920364379882812, -10.429940223693848, -10.681868553161621, -10.95627498626709, -10.12674617767334, -10.22684097290039, -10.469256401062012, -11.142584800720215, -11.697489738464355, -10.411083221435547, -10.88696575164795, -10.698394775390625, -10.511404991149902, -10.763367652893066, -10.808232307434082, -11.6564359664917, -11.194648742675781, -11.21514892578125, -10.284317970275879, -11.103350639343262]",7241732096,mistralai_Mistral-7B-v0.1
Turnip is a,vegetable.,turnip,none,vegetable,20,"[-11.086888313293457, -11.715800285339355, -11.587010383605957, -11.14981460571289, -11.230964660644531, -11.545951843261719, -11.834407806396484, -11.57015609741211, -11.828106880187988, -11.3824462890625, -11.592342376708984, -9.969354629516602, -11.828609466552734, -11.604385375976562, -11.619715690612793, -11.501482963562012, -11.53763198852539, -11.060215950012207, -11.55893325805664, -10.526841163635254, -11.46990966796875, -10.794354438781738, -11.456210136413574, -11.861489295959473, -10.677322387695312, -11.580348014831543, -12.117449760437012, -11.916821479797363, -11.344498634338379, -12.381670951843262, -10.716917991638184, -11.521868705749512, -12.540797233581543, -11.612968444824219, -11.30672550201416, -11.844653129577637, -11.251163482666016, -11.856376647949219, -11.890789985656738, -11.53759479522705, -10.90657901763916, -11.168708801269531, -11.586090087890625, -11.048504829406738, -11.780186653137207, -10.6328125, -10.650105476379395, -11.80811595916748, -11.992918968200684, -12.622357368469238]",7241732096,mistralai_Mistral-7B-v0.1
Eggplant is a,vegetable.,eggplant,none,vegetable,21,"[-11.935667991638184, -12.275813102722168, -11.450108528137207, -11.898896217346191, -10.64274787902832, -11.914423942565918, -11.853877067565918, -12.05698013305664, -11.453292846679688, -10.707304954528809, -11.706284523010254, -11.912742614746094, -9.641532897949219, -12.382889747619629, -11.825270652770996, -12.43163013458252, -12.19615650177002, -11.843976020812988, -10.443686485290527, -12.0098876953125, -11.865303039550781, -11.58657455444336, -12.12249755859375, -12.279263496398926, -10.17203140258789, -12.22097110748291, -12.026700019836426, -11.953956604003906, -11.600939750671387, -11.825900077819824, -11.11257266998291, -12.148362159729004, -11.770469665527344, -10.881104469299316, -11.743494987487793, -10.994908332824707, -11.289512634277344, -11.482093811035156, -11.498187065124512, -12.105599403381348, -11.70839786529541, -11.712048530578613, -12.081416130065918, -10.03836727142334, -11.962555885314941, -10.985530853271484, -11.854820251464844, -11.708361625671387, -10.795753479003906, -11.922574043273926]",7241732096,mistralai_Mistral-7B-v0.1
Romaine is a,vegetable.,romaine,none,vegetable,22,"[-10.558777809143066, -10.532967567443848, -11.081866264343262, -10.649069786071777, -11.84395980834961, -10.785454750061035, -11.092850685119629, -10.828765869140625, -10.881610870361328, -10.28252124786377, -12.392630577087402, -11.168904304504395, -8.505576133728027, -11.283134460449219, -10.983195304870605, -10.11185073852539, -11.0231294631958, -11.264592170715332, -11.359288215637207, -10.947583198547363, -10.153678894042969, -12.610735893249512, -11.816067695617676, -9.91506290435791, -10.942532539367676, -9.156542778015137, -11.054061889648438, -11.88515853881836, -11.620452880859375, -10.13080883026123, -11.624100685119629, -11.562670707702637, -11.444544792175293, -10.333540916442871, -13.543362617492676, -11.004218101501465, -10.75397777557373, -10.826701164245605, -11.217727661132812, -12.347058296203613, -11.375935554504395, -11.766101837158203, -11.679634094238281, -10.798201560974121, -11.025895118713379, -11.069388389587402, -10.636068344116211, -10.794442176818848, -11.07183837890625, -10.479313850402832]",7241732096,mistralai_Mistral-7B-v0.1
Green pepper is a,vegetable.,green pepper,none,vegetable,23,"[-11.467438697814941, -10.448454856872559, -10.681640625, -11.355324745178223, -10.895962715148926, -11.81070613861084, -10.803143501281738, -11.499892234802246, -11.32537841796875, -11.288111686706543, -11.526101112365723, -10.690825462341309, -10.709731101989746, -10.817501068115234, -11.995884895324707, -11.762405395507812, -11.397358894348145, -11.590371131896973, -11.442184448242188, -11.666979789733887, -11.453978538513184, -9.249852180480957, -10.851496696472168, -10.734158515930176, -10.387263298034668, -11.080086708068848, -11.391676902770996, -11.0928373336792, -11.208084106445312, -11.129908561706543, -10.01965045928955, -10.434988975524902, -11.2732572555542, -11.189509391784668, -11.440064430236816, -11.108799934387207, -11.464885711669922, -10.92318344116211, -11.387211799621582, -11.149184226989746, -10.21947956085205, -11.18523120880127, -11.057032585144043, -11.325518608093262, -10.522347450256348, -9.665175437927246, -11.222732543945312, -10.011262893676758, -11.166831016540527, -10.94771957397461]",7241732096,mistralai_Mistral-7B-v0.1
Okra is a,vegetable.,okra,none,vegetable,24,"[-10.316176414489746, -9.595280647277832, -9.452083587646484, -8.872342109680176, -9.57813549041748, -9.304141998291016, -9.956049919128418, -10.571450233459473, -10.38797664642334, -10.518048286437988, -9.677725791931152, -9.89942455291748, -9.832581520080566, -10.244393348693848, -10.125508308410645, -10.684341430664062, -10.04288101196289, -10.211932182312012, -10.14822006225586, -10.231414794921875, -9.316856384277344, -10.266864776611328, -9.329296112060547, -9.41968059539795, -10.659850120544434, -8.854558944702148, -9.747503280639648, -9.0917329788208, -9.378750801086426, -9.431326866149902, -10.470675468444824, -10.072929382324219, -9.905052185058594, -9.508923530578613, -10.535287857055664, -10.295052528381348, -9.79401683807373, -10.447342872619629, -9.913692474365234, -10.509549140930176, -8.96255111694336, -10.659193992614746, -9.762641906738281, -9.798096656799316, -10.03231430053711, -9.892287254333496, -9.234748840332031, -10.935553550720215, -10.175747871398926, -9.936556816101074]",7241732096,mistralai_Mistral-7B-v0.1
Radish is a,vegetable.,radish,none,vegetable,25,"[-11.387114524841309, -11.416764259338379, -11.15578842163086, -11.427716255187988, -11.54562759399414, -11.391371726989746, -11.233845710754395, -12.143887519836426, -11.590167045593262, -11.219801902770996, -11.219208717346191, -11.67008113861084, -11.853636741638184, -11.893226623535156, -12.175251007080078, -11.990925788879395, -10.902302742004395, -12.146350860595703, -11.027545928955078, -10.97244644165039, -11.369014739990234, -9.599035263061523, -11.56488037109375, -11.447165489196777, -11.536860466003418, -11.338404655456543, -12.788466453552246, -10.52022647857666, -11.868305206298828, -11.481724739074707, -10.659130096435547, -12.221449851989746, -11.514248847961426, -11.618206977844238, -11.260714530944824, -12.2280855178833, -11.630241394042969, -11.765486717224121, -10.12271785736084, -13.106844902038574, -11.841983795166016, -12.005661010742188, -11.173561096191406, -11.584851264953613, -10.95401668548584, -10.746184349060059, -11.73398494720459, -11.984272956848145, -11.40527057647705, -11.601428031921387]",7241732096,mistralai_Mistral-7B-v0.1
Onion is a,vegetable.,onion,none,vegetable,26,"[-12.602234840393066, -9.762600898742676, -12.621258735656738, -11.691394805908203, -12.130745887756348, -9.8572416305542, -12.032638549804688, -12.078495025634766, -13.064997673034668, -12.152798652648926, -12.039658546447754, -12.90929126739502, -12.280960083007812, -11.78720760345459, -12.80237102508545, -11.573902130126953, -13.33111572265625, -12.854689598083496, -12.63677978515625, -12.357449531555176, -12.863062858581543, -9.3956937789917, -12.050387382507324, -12.465100288391113, -11.993891716003418, -11.80472183227539, -11.35287857055664, -11.665782928466797, -9.978209495544434, -10.481541633605957, -12.795875549316406, -12.213593482971191, -11.943009376525879, -12.100791931152344, -13.097094535827637, -10.562411308288574, -12.297065734863281, -11.759673118591309, -12.864367485046387, -12.34852123260498, -12.603317260742188, -12.714066505432129, -11.94610595703125, -12.220993041992188, -12.172406196594238, -12.181897163391113, -11.978716850280762, -12.697789192199707, -11.177552223205566, -12.008563995361328]",7241732096,mistralai_Mistral-7B-v0.1
Bean is a,vegetable.,bean,none,vegetable,27,"[-10.864466667175293, -11.853564262390137, -11.37818431854248, -12.248363494873047, -10.495380401611328, -12.006682395935059, -11.037567138671875, -11.571125984191895, -11.129597663879395, -11.146541595458984, -12.439262390136719, -11.236457824707031, -11.266947746276855, -11.616576194763184, -10.992149353027344, -12.444401741027832, -10.988147735595703, -11.058850288391113, -10.947712898254395, -11.53103256225586, -11.944127082824707, -12.66780948638916, -11.099037170410156, -11.720130920410156, -11.153979301452637, -11.073723793029785, -11.172622680664062, -12.468205451965332, -11.971115112304688, -11.193425178527832, -11.91153621673584, -10.839741706848145, -11.14294719696045, -10.991737365722656, -12.063822746276855, -8.901248931884766, -10.805267333984375, -10.487029075622559, -9.145968437194824, -10.470475196838379, -11.098225593566895, -12.30140209197998, -11.359343528747559, -11.24886417388916, -12.405339241027832, -11.238713264465332, -11.59259033203125, -11.773750305175781, -10.902168273925781, -10.715039253234863]",7241732096,mistralai_Mistral-7B-v0.1
