preamble,stimulus,item,true_category,category,rank,"score (sum, mean, [list)",params,model
A sandpiper is a,bird.,sandpiper,none,bird,30,"[-12.249958038330078, -11.898884773254395, -11.213708877563477, -12.296881675720215, -11.668484687805176, -12.501827239990234, -12.014266014099121, -11.93561840057373, -11.394322395324707, -11.525960922241211, -12.014671325683594, -12.467672348022461, -11.47953987121582, -12.852348327636719, -12.173527717590332, -12.044330596923828, -12.196569442749023, -12.164482116699219, -11.695517539978027, -11.831403732299805, -12.09313678741455, -10.927037239074707, -12.485671997070312, -12.509197235107422, -11.487127304077148, -12.082498550415039, -11.062063217163086, -11.832984924316406, -12.2879638671875, -12.650275230407715, -12.670337677001953, -12.239044189453125, -12.158761978149414, -10.60714340209961, -12.630556106567383, -11.706720352172852, -12.005050659179688, -11.598296165466309, -11.967350959777832, -11.96323013305664, -12.514119148254395, -11.294832229614258, -11.971790313720703, -11.08768081665039, -11.450111389160156, -12.476105690002441, -12.648059844970703, -11.764211654663086, -12.305846214294434, -10.444511413574219]",7241732096,mistralai_Mistral-7B-v0.1
A pheasant is a,bird.,pheasant,none,bird,31,"[-15.478382110595703, -14.215314865112305, -14.35843276977539, -15.543468475341797, -15.462651252746582, -15.710177421569824, -15.236893653869629, -15.350090026855469, -14.699739456176758, -10.525884628295898, -15.205245018005371, -14.897253036499023, -15.062251091003418, -15.933961868286133, -14.296196937561035, -15.745481491088867, -14.081077575683594, -14.549490928649902, -14.997089385986328, -15.221933364868164, -14.664752960205078, -14.914198875427246, -14.288363456726074, -15.365225791931152, -15.280728340148926, -15.45263385772705, -11.049053192138672, -14.610893249511719, -15.357522964477539, -16.06232452392578, -14.118549346923828, -14.907384872436523, -15.298046112060547, -15.001501083374023, -15.36209487915039, -14.614725112915039, -14.871733665466309, -15.348166465759277, -14.613672256469727, -15.099546432495117, -13.871288299560547, -14.742774963378906, -15.799270629882812, -15.653129577636719, -15.258684158325195, -14.74293327331543, -14.166326522827148, -14.295101165771484, -14.53863525390625, -10.541030883789062]",7241732096,mistralai_Mistral-7B-v0.1
A catbird is a,bird.,catbird,none,bird,32,"[-14.713061332702637, -10.36902904510498, -14.6304292678833, -14.621126174926758, -14.881814002990723, -13.963600158691406, -14.846900939941406, -13.441360473632812, -14.663073539733887, -13.862460136413574, -14.786656379699707, -12.707645416259766, -12.98016357421875, -15.009907722473145, -14.409367561340332, -14.791918754577637, -13.892934799194336, -14.093533515930176, -14.663820266723633, -14.258278846740723, -15.104286193847656, -14.646501541137695, -14.739502906799316, -14.241700172424316, -14.451534271240234, -14.224260330200195, -12.178421020507812, -14.472858428955078, -12.460193634033203, -14.507497787475586, -14.356281280517578, -14.721841812133789, -14.466033935546875, -14.090227127075195, -12.987495422363281, -13.631476402282715, -14.960676193237305, -14.059144020080566, -12.76441764831543, -14.536993980407715, -11.97103500366211, -13.949471473693848, -14.829141616821289, -14.006121635437012, -13.887125015258789, -11.743881225585938, -14.655475616455078, -14.001564025878906, -14.4166259765625, -13.939719200134277]",7241732096,mistralai_Mistral-7B-v0.1
A crane is a,bird.,crane,none,bird,33,"[-15.372775077819824, -13.30242919921875, -15.359842300415039, -13.699005126953125, -14.345819473266602, -15.256397247314453, -14.548540115356445, -14.475430488586426, -14.275026321411133, -12.863153457641602, -13.37971305847168, -14.687013626098633, -14.764069557189941, -12.17990779876709, -11.78605842590332, -11.173837661743164, -13.910361289978027, -14.665563583374023, -12.981853485107422, -14.570398330688477, -14.673620223999023, -14.747593879699707, -14.404172897338867, -15.08469295501709, -13.089336395263672, -14.1348295211792, -12.948942184448242, -14.756441116333008, -14.743362426757812, -13.33251667022705, -12.358161926269531, -14.522005081176758, -14.980936050415039, -14.244390487670898, -14.224777221679688, -14.324892044067383, -14.478440284729004, -13.921018600463867, -14.076910972595215, -14.024038314819336, -14.753095626831055, -12.63811206817627, -15.034171104431152, -13.985038757324219, -12.053183555603027, -14.109416961669922, -13.494925498962402, -14.317841529846191, -14.514252662658691, -14.034116744995117]",7241732096,mistralai_Mistral-7B-v0.1
An albatross is a,bird.,albatross,none,bird,34,"[-15.131850242614746, -16.10499382019043, -15.478777885437012, -15.136954307556152, -14.954183578491211, -15.532841682434082, -11.24182415008545, -17.05364990234375, -16.458829879760742, -15.400341987609863, -15.14810562133789, -14.899680137634277, -16.271087646484375, -15.481880187988281, -17.154991149902344, -15.76154899597168, -16.205230712890625, -15.43568229675293, -16.190141677856445, -16.0379581451416, -17.18198013305664, -16.268936157226562, -16.44708824157715, -14.937646865844727, -15.153579711914062, -15.753961563110352, -14.978989601135254, -15.815593719482422, -16.069072723388672, -15.249434471130371, -16.650684356689453, -14.99189567565918, -16.02600860595703, -16.247581481933594, -16.763885498046875, -10.399914741516113, -15.22436809539795, -15.76268196105957, -15.339929580688477, -16.422903060913086, -15.934670448303223, -14.672661781311035, -15.858409881591797, -16.957117080688477, -16.09075164794922, -14.74349308013916, -15.922266006469727, -16.324892044067383, -15.56754207611084, -16.011619567871094]",7241732096,mistralai_Mistral-7B-v0.1
A condor is a,bird.,condor,none,bird,35,"[-14.491249084472656, -14.314569473266602, -14.497570991516113, -13.797078132629395, -13.378406524658203, -14.272027969360352, -14.383756637573242, -12.692362785339355, -14.92087173461914, -14.011104583740234, -14.377697944641113, -14.213566780090332, -14.378914833068848, -13.749494552612305, -14.455711364746094, -13.719487190246582, -14.680861473083496, -14.792085647583008, -14.39439582824707, -13.166828155517578, -14.688167572021484, -14.667444229125977, -12.192903518676758, -14.478004455566406, -13.680536270141602, -14.149209976196289, -11.913890838623047, -15.280295372009277, -14.613519668579102, -13.983753204345703, -14.566610336303711, -14.475364685058594, -13.882366180419922, -13.043006896972656, -14.465080261230469, -14.468146324157715, -14.295817375183105, -14.59599781036377, -14.073887825012207, -12.616528511047363, -13.622471809387207, -14.165838241577148, -14.088569641113281, -14.534178733825684, -13.814142227172852, -11.938989639282227, -11.692562103271484, -12.095942497253418, -14.657459259033203, -14.757392883300781]",7241732096,mistralai_Mistral-7B-v0.1
A toucan is a,bird.,toucan,none,bird,36,"[-12.54487419128418, -12.65393352508545, -12.241615295410156, -14.60522174835205, -13.485176086425781, -14.78268814086914, -14.294502258300781, -14.419158935546875, -14.627250671386719, -14.445147514343262, -13.71645736694336, -15.121760368347168, -14.747523307800293, -13.715576171875, -14.639310836791992, -14.37671947479248, -13.55313491821289, -14.227179527282715, -12.888450622558594, -13.886826515197754, -14.140715599060059, -14.673042297363281, -15.750927925109863, -14.889335632324219, -14.238142967224121, -14.094552040100098, -14.394774436950684, -12.911882400512695, -14.341789245605469, -14.611310958862305, -13.87053108215332, -14.784908294677734, -14.676260948181152, -13.533029556274414, -14.726831436157227, -14.02885913848877, -14.150609016418457, -14.14675235748291, -13.374628067016602, -14.568777084350586, -15.478034973144531, -14.391012191772461, -14.918959617614746, -12.736849784851074, -13.177675247192383, -14.753134727478027, -14.891121864318848, -15.120331764221191, -13.644996643066406, -14.491878509521484]",7241732096,mistralai_Mistral-7B-v0.1
An owl is a,bird.,owl,none,bird,37,"[-12.603275299072266, -14.607991218566895, -14.68019962310791, -14.411624908447266, -14.207433700561523, -12.454704284667969, -14.651939392089844, -14.145721435546875, -14.499547958374023, -14.795408248901367, -14.644216537475586, -11.348344802856445, -14.860849380493164, -14.210945129394531, -14.35693073272705, -14.065436363220215, -13.794872283935547, -14.676248550415039, -14.445327758789062, -14.931997299194336, -14.190808296203613, -15.05690860748291, -14.540545463562012, -12.81432056427002, -13.945964813232422, -14.62623405456543, -13.720572471618652, -14.231828689575195, -14.380912780761719, -15.049474716186523, -14.921420097351074, -13.894598960876465, -14.892822265625, -13.85840129852295, -14.660985946655273, -13.896333694458008, -14.817770004272461, -12.243643760681152, -13.6666259765625, -14.044084548950195, -14.391365051269531, -14.83616828918457, -14.307263374328613, -11.681437492370605, -15.390925407409668, -13.504731178283691, -14.34403133392334, -13.880691528320312, -14.696261405944824, -14.119318962097168]",7241732096,mistralai_Mistral-7B-v0.1
A pelican is a,bird.,pelican,none,bird,38,"[-14.066488265991211, -13.570731163024902, -14.295907020568848, -14.186001777648926, -14.575531005859375, -14.919720649719238, -14.344834327697754, -14.894775390625, -14.208704948425293, -14.565418243408203, -14.4601469039917, -14.596695899963379, -14.329330444335938, -14.718894004821777, -14.302360534667969, -14.338069915771484, -14.952581405639648, -12.872806549072266, -14.89548110961914, -13.907209396362305, -14.828104972839355, -14.827940940856934, -14.820879936218262, -15.004912376403809, -13.261756896972656, -15.386651039123535, -14.429800987243652, -14.609718322753906, -13.752084732055664, -13.94206428527832, -14.504955291748047, -13.501594543457031, -14.501607894897461, -14.693719863891602, -14.068445205688477, -14.506490707397461, -14.420913696289062, -13.392711639404297, -15.259496688842773, -14.614956855773926, -13.849367141723633, -14.645238876342773, -11.653197288513184, -13.570610046386719, -14.657270431518555, -11.83790111541748, -14.182947158813477, -13.95296573638916, -14.58863639831543, -12.36744499206543]",7241732096,mistralai_Mistral-7B-v0.1
A goose is a,bird.,goose,none,bird,39,"[-14.32278060913086, -14.898079872131348, -14.577896118164062, -14.885428428649902, -14.716156005859375, -14.435148239135742, -14.837504386901855, -14.652782440185547, -14.226574897766113, -14.6382417678833, -14.573173522949219, -14.036325454711914, -14.993268013000488, -14.507238388061523, -14.781076431274414, -13.731766700744629, -13.757816314697266, -14.243797302246094, -11.053847312927246, -14.641983985900879, -14.644804000854492, -14.019869804382324, -13.866698265075684, -14.88454818725586, -12.66796588897705, -14.18195915222168, -14.418051719665527, -14.436877250671387, -14.61362361907959, -11.966954231262207, -15.058883666992188, -14.501690864562988, -13.600336074829102, -14.907127380371094, -11.774179458618164, -13.522541046142578, -13.204208374023438, -15.049297332763672, -12.999608993530273, -12.586572647094727, -11.678339004516602, -14.261757850646973, -13.625677108764648, -15.06309986114502, -14.455055236816406, -12.195112228393555, -15.163476943969727, -14.542099952697754, -14.221762657165527, -13.953630447387695]",7241732096,mistralai_Mistral-7B-v0.1
A vulture is a,bird.,vulture,none,bird,40,"[-11.690128326416016, -12.600204467773438, -14.490034103393555, -13.273003578186035, -15.06920337677002, -14.371814727783203, -14.790180206298828, -14.254823684692383, -14.594884872436523, -14.398502349853516, -13.791321754455566, -14.976816177368164, -11.524430274963379, -13.52344799041748, -13.409309387207031, -13.74924373626709, -15.039237976074219, -14.340367317199707, -14.189635276794434, -14.424288749694824, -14.236366271972656, -14.727010726928711, -13.463826179504395, -14.7526216506958, -14.542835235595703, -14.03305435180664, -14.054157257080078, -12.411164283752441, -14.625117301940918, -13.039813995361328, -14.04649543762207, -14.752315521240234, -13.473291397094727, -14.258094787597656, -15.148642539978027, -12.828276634216309, -12.482264518737793, -14.448404312133789, -14.922552108764648, -14.366626739501953, -13.780458450317383, -14.366911888122559, -14.54330062866211, -15.839456558227539, -14.183934211730957, -15.877669334411621, -13.548480987548828, -14.382759094238281, -14.502449989318848, -14.049614906311035]",7241732096,mistralai_Mistral-7B-v0.1
A stork is a,bird.,stork,none,bird,41,"[-14.207977294921875, -14.921557426452637, -14.408774375915527, -14.569246292114258, -14.648211479187012, -14.227157592773438, -14.319632530212402, -14.777935028076172, -11.791711807250977, -13.41634750366211, -14.501749038696289, -12.97011661529541, -14.332265853881836, -14.78471565246582, -13.18029499053955, -15.039837837219238, -14.249171257019043, -14.557427406311035, -14.494540214538574, -13.815677642822266, -14.322287559509277, -14.813505172729492, -14.612096786499023, -14.1898832321167, -14.812883377075195, -14.426067352294922, -14.398838996887207, -14.648022651672363, -11.854812622070312, -14.922459602355957, -14.335371017456055, -14.229698181152344, -14.381126403808594, -14.753155708312988, -12.89936351776123, -14.772223472595215, -15.098251342773438, -12.904253959655762, -14.330116271972656, -14.329962730407715, -13.828084945678711, -14.347721099853516, -14.173378944396973, -11.862661361694336, -14.928996086120605, -12.454227447509766, -12.175613403320312, -13.209972381591797, -14.469847679138184, -12.042851448059082]",7241732096,mistralai_Mistral-7B-v0.1
A buzzard is a,bird.,buzzard,none,bird,42,"[-15.205805778503418, -12.473459243774414, -15.026822090148926, -14.688469886779785, -12.97087574005127, -14.349570274353027, -14.022293090820312, -15.183185577392578, -13.604652404785156, -14.2002534866333, -14.385868072509766, -12.835380554199219, -13.788896560668945, -14.073596954345703, -14.696941375732422, -14.435742378234863, -14.612211227416992, -14.955541610717773, -15.993549346923828, -13.6201171875, -13.761700630187988, -14.822131156921387, -15.23499870300293, -14.259939193725586, -14.135885238647461, -13.851118087768555, -13.161070823669434, -14.383496284484863, -15.237809181213379, -13.068581581115723, -14.080562591552734, -14.511494636535645, -14.365252494812012, -14.34325122833252, -12.316025733947754, -14.083514213562012, -14.831979751586914, -12.992871284484863, -14.281290054321289, -14.505744934082031, -13.658864974975586, -14.535451889038086, -13.504637718200684, -14.272246360778809, -14.67238712310791, -14.613484382629395, -14.671483039855957, -15.238399505615234, -13.611089706420898, -14.560399055480957]",7241732096,mistralai_Mistral-7B-v0.1
A swan is a,bird.,swan,none,bird,43,"[-14.298070907592773, -13.533760070800781, -14.969793319702148, -14.552087783813477, -13.723591804504395, -14.621126174926758, -13.58273983001709, -15.187887191772461, -14.000389099121094, -14.526594161987305, -12.30528450012207, -14.872251510620117, -14.039384841918945, -13.69130802154541, -14.411319732666016, -14.593669891357422, -12.649833679199219, -11.990762710571289, -12.242547035217285, -14.86734676361084, -14.15823745727539, -14.532459259033203, -14.862897872924805, -13.31289291381836, -14.359430313110352, -13.131887435913086, -12.027700424194336, -14.353899002075195, -13.225274085998535, -13.81016731262207, -14.453595161437988, -14.73731517791748, -15.212231636047363, -12.628347396850586, -14.001253128051758, -13.737870216369629, -12.877771377563477, -14.556883811950684, -14.588600158691406, -14.80453109741211, -14.67011833190918, -14.344913482666016, -13.81273365020752, -14.45783805847168, -11.648204803466797, -14.219219207763672, -14.547748565673828, -14.308876991271973, -14.714482307434082, -14.460820198059082]",7241732096,mistralai_Mistral-7B-v0.1
A flamingo is a,bird.,flamingo,none,bird,44,"[-17.228046417236328, -16.602176666259766, -10.610161781311035, -17.24483299255371, -16.07273292541504, -16.847110748291016, -16.778108596801758, -16.34479522705078, -15.82675552368164, -9.90545654296875, -16.651195526123047, -13.53726577758789, -17.43363380432129, -17.327133178710938, -16.43512725830078, -17.50837516784668, -16.745521545410156, -9.588624954223633, -17.711971282958984, -15.769378662109375, -16.862104415893555, -16.36642837524414, -16.873353958129883, -16.879863739013672, -16.94206428527832, -17.008878707885742, -16.737112045288086, -16.540536880493164, -16.557302474975586, -16.764724731445312, -17.78009033203125, -17.511640548706055, -17.622295379638672, -17.243328094482422, -17.298349380493164, -16.597278594970703, -16.62698745727539, -17.939844131469727, -16.896333694458008, -16.662080764770508, -17.140426635742188, -16.149906158447266, -17.51917839050293, -15.71281909942627, -16.795663833618164, -15.710026741027832, -17.39665412902832, -17.07735824584961, -16.823545455932617, -17.397192001342773]",7241732096,mistralai_Mistral-7B-v0.1
A duck is a,bird.,duck,none,bird,45,"[-8.598917961120605, -9.873912811279297, -9.270155906677246, -10.430919647216797, -11.287813186645508, -9.708992004394531, -8.922971725463867, -9.841263771057129, -10.865142822265625, -9.957193374633789, -10.052478790283203, -14.100968360900879, -7.491479873657227, -9.96066951751709, -11.175683975219727, -9.872553825378418, -10.436062812805176, -10.65327262878418, -9.084604263305664, -10.309042930603027, -9.363719940185547, -8.206436157226562, -9.404276847839355, -7.88850212097168, -10.237693786621094, -9.60415267944336, -10.073949813842773, -9.499277114868164, -9.931119918823242, -11.052694320678711, -10.893630981445312, -12.210680961608887, -7.374898910522461, -10.609683990478516, -12.140970230102539, -9.772228240966797, -7.808279037475586, -10.761881828308105, -10.452699661254883, -9.291581153869629, -10.318428993225098, -11.558111190795898, -10.589722633361816, -11.733489036560059, -8.13763427734375, -8.882122993469238, -8.114009857177734, -7.193187713623047, -8.799688339233398, -7.736490249633789]",7241732096,mistralai_Mistral-7B-v0.1
A peacock is a,bird.,peacock,none,bird,46,"[-10.460433006286621, -16.538663864135742, -16.650110244750977, -16.832767486572266, -17.189794540405273, -16.205066680908203, -17.002395629882812, -16.59011459350586, -18.099334716796875, -17.159854888916016, -17.662660598754883, -16.70761489868164, -17.392953872680664, -16.643310546875, -14.649746894836426, -16.949129104614258, -17.14333152770996, -10.527242660522461, -16.950857162475586, -16.450937271118164, -16.58759307861328, -15.730673789978027, -10.90414047241211, -16.38332748413086, -10.845026016235352, -16.164657592773438, -15.781878471374512, -18.42181968688965, -16.739551544189453, -16.079288482666016, -17.4188232421875, -16.855941772460938, -16.85210418701172, -16.63705062866211, -16.566905975341797, -16.710594177246094, -16.036643981933594, -17.67755126953125, -14.364203453063965, -14.738578796386719, -16.569087982177734, -16.87457847595215, -16.151084899902344, -17.363008499145508, -10.458267211914062, -16.822525024414062, -16.667556762695312, -18.22054672241211, -16.315303802490234, -16.551088333129883]",7241732096,mistralai_Mistral-7B-v0.1
An egret is a,bird.,egret,none,bird,47,"[-14.448994636535645, -14.481344223022461, -14.650680541992188, -13.999573707580566, -14.89145565032959, -14.91638469696045, -13.869987487792969, -14.331868171691895, -14.814943313598633, -14.452835083007812, -13.72966480255127, -14.729876518249512, -14.947847366333008, -12.411581039428711, -14.321039199829102, -12.290109634399414, -14.64359188079834, -14.611467361450195, -14.71929931640625, -14.274309158325195, -14.465462684631348, -13.008840560913086, -14.630048751831055, -14.898397445678711, -14.439407348632812, -13.73255729675293, -16.115921020507812, -13.555971145629883, -14.399853706359863, -14.54827880859375, -14.519484519958496, -14.087700843811035, -12.807798385620117, -14.96061897277832, -14.115350723266602, -14.67555046081543, -13.772336959838867, -14.347321510314941, -14.300722122192383, -14.452254295349121, -14.40037727355957, -11.955801963806152, -13.836374282836914, -14.281717300415039, -13.615533828735352, -14.857760429382324, -13.023406982421875, -14.19222354888916, -11.899123191833496, -12.81520938873291]",7241732096,mistralai_Mistral-7B-v0.1
A chicken is a,bird.,chicken,none,bird,48,"[-9.662229537963867, -10.888948440551758, -8.660221099853516, -8.01960563659668, -10.614461898803711, -9.863908767700195, -10.285253524780273, -11.504244804382324, -8.141307830810547, -8.684947967529297, -9.93659496307373, -9.90839672088623, -8.54800033569336, -8.49703598022461, -8.753311157226562, -7.756033897399902, -9.716010093688965, -11.602279663085938, -9.208635330200195, -10.134963989257812, -10.468517303466797, -8.773420333862305, -10.796061515808105, -11.13106918334961, -10.304019927978516, -8.257450103759766, -10.324642181396484, -5.851961135864258, -10.578901290893555, -9.140828132629395, -9.009489059448242, -9.529057502746582, -9.674300193786621, -10.041513442993164, -10.711970329284668, -7.976016998291016, -7.291566848754883, -9.817749977111816, -11.302709579467773, -7.908333778381348, -8.946479797363281, -9.908027648925781, -12.019184112548828, -8.367003440856934, -10.703054428100586, -9.929628372192383, -10.521378517150879, -6.981355667114258, -10.751897811889648, -7.70045280456543]",7241732096,mistralai_Mistral-7B-v0.1
A turkey is a,bird.,turkey,none,bird,49,"[-13.385650634765625, -15.026468276977539, -14.848011016845703, -14.610589981079102, -14.542973518371582, -11.542213439941406, -14.973477363586426, -14.931591987609863, -14.790426254272461, -14.836145401000977, -11.51159381866455, -15.068191528320312, -14.403207778930664, -14.286847114562988, -15.031850814819336, -14.187161445617676, -14.20059585571289, -14.795724868774414, -14.342878341674805, -14.834331512451172, -15.136292457580566, -14.546856880187988, -14.479937553405762, -15.234251976013184, -14.752837181091309, -14.750082969665527, -11.70047378540039, -14.0789794921875, -11.877985000610352, -15.124792098999023, -15.19788646697998, -11.774537086486816, -14.061816215515137, -14.528987884521484, -15.520535469055176, -14.26321029663086, -12.39034652709961, -13.744048118591309, -14.668031692504883, -12.929949760437012, -14.368790626525879, -14.617389678955078, -14.363391876220703, -13.988615989685059, -14.4745454788208, -14.281426429748535, -14.798169136047363, -13.732081413269043, -14.731348037719727, -14.377431869506836]",7241732096,mistralai_Mistral-7B-v0.1
An ostrich is a,bird.,ostrich,none,bird,50,"[-14.407088279724121, -10.818723678588867, -16.534122467041016, -15.744955062866211, -15.412534713745117, -16.535926818847656, -10.488021850585938, -10.958979606628418, -9.671609878540039, -14.683724403381348, -16.60144805908203, -15.707639694213867, -15.040225982666016, -15.0910005569458, -16.030170440673828, -16.361101150512695, -16.610151290893555, -16.27956771850586, -13.751626968383789, -16.26590919494629, -15.294857025146484, -16.421903610229492, -10.96756362915039, -15.895668029785156, -15.77328109741211, -16.139678955078125, -16.227176666259766, -10.511993408203125, -16.641204833984375, -16.74504852294922, -10.926309585571289, -16.31031608581543, -15.513436317443848, -13.150900840759277, -15.64224624633789, -16.507617950439453, -16.290380477905273, -15.893315315246582, -15.114886283874512, -10.570220947265625, -15.505228042602539, -10.715726852416992, -10.350714683532715, -16.50908660888672, -16.10118865966797, -16.978252410888672, -10.542176246643066, -16.48183822631836, -16.13714599609375, -15.484817504882812]",7241732096,mistralai_Mistral-7B-v0.1
A titmouse is a,bird.,titmouse,none,bird,51,"[-14.70656967163086, -14.342611312866211, -13.65087890625, -15.21430492401123, -14.203069686889648, -13.825615882873535, -13.589130401611328, -14.335963249206543, -14.326094627380371, -14.461904525756836, -14.464547157287598, -12.902822494506836, -13.870664596557617, -13.347001075744629, -13.90218448638916, -15.512892723083496, -14.737306594848633, -14.436080932617188, -13.353856086730957, -15.221216201782227, -12.993242263793945, -14.473901748657227, -14.433683395385742, -13.604778289794922, -14.1444673538208, -13.640478134155273, -11.192535400390625, -14.364073753356934, -14.375020027160645, -14.507713317871094, -14.600751876831055, -14.011335372924805, -14.978774070739746, -13.37012004852295, -11.462017059326172, -14.201325416564941, -14.040525436401367, -12.762758255004883, -14.399532318115234, -14.462059020996094, -14.829180717468262, -14.847705841064453, -14.196166038513184, -13.802379608154297, -13.40380859375, -14.649351119995117, -14.491360664367676, -15.002500534057617, -14.833333969116211, -14.732748985290527]",7241732096,mistralai_Mistral-7B-v0.1
An emu is a,bird.,emu,none,bird,52,"[-13.257912635803223, -13.980146408081055, -14.726984977722168, -14.47033405303955, -12.947265625, -13.66596508026123, -14.85792064666748, -15.04686450958252, -14.025482177734375, -12.913396835327148, -13.846761703491211, -14.590314865112305, -15.012346267700195, -14.997611045837402, -13.758573532104492, -11.788030624389648, -12.320069313049316, -14.478873252868652, -14.38191032409668, -14.078714370727539, -14.430073738098145, -14.81399154663086, -14.41128158569336, -14.61648178100586, -14.002137184143066, -14.214518547058105, -15.409801483154297, -13.29504108428955, -14.065773010253906, -15.165538787841797, -14.953605651855469, -14.576842308044434, -14.121373176574707, -14.778824806213379, -12.73635482788086, -12.17819595336914, -15.09426212310791, -13.047792434692383, -13.339032173156738, -13.037107467651367, -13.703408241271973, -11.93217658996582, -14.374424934387207, -12.509908676147461, -15.428049087524414, -14.486028671264648, -13.973074913024902, -12.768699645996094, -14.194515228271484, -14.327021598815918]",7241732096,mistralai_Mistral-7B-v0.1
A penguin is a,bird.,penguin,none,bird,53,"[-15.98922348022461, -15.454726219177246, -15.263648986816406, -13.932236671447754, -15.1602144241333, -14.441181182861328, -10.551246643066406, -15.369474411010742, -15.437145233154297, -14.959071159362793, -13.991901397705078, -15.800716400146484, -15.949810028076172, -14.993997573852539, -16.041358947753906, -13.496173858642578, -10.951990127563477, -14.527602195739746, -15.13081169128418, -10.945527076721191, -15.811582565307617, -15.6528959274292, -15.448541641235352, -14.328739166259766, -15.753811836242676, -15.486491203308105, -15.511798858642578, -15.042556762695312, -10.492471694946289, -15.0747709274292, -14.111078262329102, -14.712459564208984, -15.807428359985352, -14.650605201721191, -15.499553680419922, -14.417831420898438, -14.821737289428711, -13.738570213317871, -14.564346313476562, -15.325462341308594, -14.111604690551758, -14.518296241760254, -15.341449737548828, -10.343982696533203, -14.79226303100586, -14.303234100341797, -15.074475288391113, -14.597052574157715, -15.44113540649414, -14.699078559875488]",7241732096,mistralai_Mistral-7B-v0.1
A bat is a,bird.,bat,none,bird,54,"[-9.120545387268066, -11.015226364135742, -8.005956649780273, -10.800600051879883, -8.197370529174805, -9.917939186096191, -9.76986312866211, -10.121417999267578, -10.102255821228027, -9.334663391113281, -10.119818687438965, -8.685948371887207, -9.259574890136719, -10.285357475280762, -8.097982406616211, -9.109721183776855, -10.659492492675781, -9.446002960205078, -10.409989356994629, -7.375978469848633, -9.140129089355469, -8.988988876342773, -10.504354476928711, -9.209603309631348, -7.577367782592773, -9.05510425567627, -9.835845947265625, -8.904157638549805, -8.693578720092773, -10.21267032623291, -9.419677734375, -10.883296012878418, -12.253143310546875, -11.8734130859375, -6.173069000244141, -10.237051963806152, -11.105844497680664, -10.216392517089844, -8.932353019714355, -8.748106002807617, -10.884292602539062, -11.246917724609375, -10.564201354980469, -6.117948532104492, -11.449774742126465, -11.4730863571167, -10.074015617370605, -9.777937889099121, -12.560093879699707, -9.794498443603516]",7241732096,mistralai_Mistral-7B-v0.1
Football is a,sport.,football,none,sport,1,"[-9.223726272583008, -10.319746017456055, -9.539557456970215, -9.651123046875, -8.353424072265625, -7.6371564865112305, -7.519518852233887, -6.239128112792969, -9.104640007019043, -10.020773887634277, -7.600919723510742, -9.61897087097168, -8.620589256286621, -8.646336555480957, -6.200600624084473, -7.264781951904297, -9.759988784790039, -10.158348083496094, -6.428709983825684, -9.695470809936523, -7.6750335693359375, -4.9067487716674805, -7.99772834777832, -7.04643440246582, -8.754791259765625, -9.16571044921875, -7.308490753173828, -10.627346992492676, -6.937668800354004, -6.763428688049316, -5.822604179382324, -8.136359214782715, -11.803733825683594, -7.226716995239258, -10.494749069213867, -6.995872497558594, -6.758522033691406, -7.237441062927246, -10.330175399780273, -8.277460098266602, -10.255727767944336, -8.690133094787598, -8.62697982788086, -10.578580856323242, -8.99852180480957, -6.1707048416137695, -8.956416130065918, -9.329841613769531, -8.397751808166504, -7.048703193664551]",7241732096,mistralai_Mistral-7B-v0.1
Baseball is a,sport.,baseball,none,sport,2,"[-12.252715110778809, -8.25883674621582, -7.419940948486328, -11.092584609985352, -6.684900283813477, -8.74072265625, -9.113136291503906, -8.139700889587402, -7.647550582885742, -9.21523380279541, -7.86083984375, -10.326149940490723, -10.94996452331543, -6.5208940505981445, -8.195052146911621, -9.548623085021973, -7.632196426391602, -8.899778366088867, -7.8678483963012695, -8.058749198913574, -5.207869529724121, -8.547088623046875, -6.058692932128906, -7.585219383239746, -7.054015159606934, -7.743608474731445, -8.323853492736816, -8.683032989501953, -7.1649932861328125, -8.21683120727539, -9.262914657592773, -9.029016494750977, -7.635129928588867, -8.676433563232422, -7.482030868530273, -8.51209831237793, -5.558591842651367, -8.557500839233398, -10.0423583984375, -9.828691482543945, -7.483025550842285, -8.65320873260498, -8.05627727508545, -9.01320743560791, -9.958728790283203, -7.758872032165527, -8.656880378723145, -10.250080108642578, -7.833522796630859, -9.048954010009766]",7241732096,mistralai_Mistral-7B-v0.1
Basketball is a,sport.,basketball,none,sport,3,"[-7.486476898193359, -9.265352249145508, -8.780962944030762, -8.21992015838623, -8.204581260681152, -8.483197212219238, -8.872132301330566, -7.058698654174805, -8.060139656066895, -7.828922271728516, -8.710250854492188, -6.39382266998291, -8.598922729492188, -9.719993591308594, -7.461169242858887, -8.441070556640625, -7.583332061767578, -7.810301780700684, -6.029641151428223, -7.267528533935547, -9.227401733398438, -8.446657180786133, -8.681157112121582, -6.837804794311523, -7.134452819824219, -8.384523391723633, -9.156816482543945, -6.635583877563477, -8.200155258178711, -7.836854934692383, -5.839327812194824, -8.691587448120117, -9.777702331542969, -7.6263227462768555, -7.351375579833984, -8.118289947509766, -7.780792236328125, -10.013535499572754, -9.061925888061523, -8.490206718444824, -9.347953796386719, -9.20237922668457, -9.907865524291992, -8.933158874511719, -9.135507583618164, -8.41270637512207, -7.092277526855469, -9.36048698425293, -8.890109062194824, -8.19935131072998]",7241732096,mistralai_Mistral-7B-v0.1
